TDAVGW v1.17n, TDIP data processed on 2021/05/18: Majuba
LINE:1N ARRAY:DPDP DIPOLE:300 UNITS:m T=59.412,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438
T1X T2X R1X R2X T1Y T2Y R1Y R2Y PltX PltY Z N Line Vp I TxFreq Sp ARes ARerr IPm IPerr MF QC IP0 IP1 IP2 IP3 IP4 IP5 IP6 IP7 IP8 IP9 IP10 IP11 IP12 PltEast PltNorth PltElev TxEast1 TxNorth1 TxElev1 TxEast2 TxNorth2 TxElev2 RxEast1 RxNorth1 RxElev1 RxEast2 RxNorth2 RxElev2 
1200 1500 0 300 1 1 1 1 750 1 -600 3 1 215 8.8 0.125 9.352 1381.6 0.01 16.81 0.01 12.16 1 423.1 29.4 21.03 16.37 13.9 12.04 10.63 9.633 8.6 7.867 7.1 6.6 6.3 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1200 1500 300 600 1 1 1 1 900 1 -450 2 1 382.7 8.8 0.125 -25.503 983.69 0.01 16.1 0.01 16.37 1 431.6 32.3 20 15.8 13.36 11.36 10.1 9.2 8.267 7.561 6.767 6.267 6.239 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1500 1800 0 300 1 1 1 1 900 1 -750 4 1 78.921 12.3 0.125 6.93 725.68 0.01 13.79 0.01 19 1 420.8 25.07 17.3 13.5 11.23 9.978 8.7 7.9 6.961 6.467 5.9 5.361 5 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1200 1500 600 900 1 1 1 1 1050 1 -300 1 1 830.8 8.8 0.125 25.15 533.87 0.01 8.45 0.01 15.83 1 402.6 12.5 10.3 8.1 7 6.1 5.5 4.9 4.5 4 3.8 3.5 3.3 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1500 1800 300 600 1 1 1 1 1050 1 -600 3 1 125.8 12.3 0.125 -27.159 578.36 0.01 12.52 0.1 21.64 1 427.8 27 15.63 12.3 10 8.933 8.061 6.9 6.267 5.9 5.633 5.167 4.583 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1800 2100 0 300 1 1 1 1 1050 1 -900 5 1 17.071 5.6 0.125 8.793 603.33 0.02 14.39 0.01 23.85 1 426.4 27.4 19.1 14.87 12.23 10.03 9.233 8.133 7.317 6.25 5.967 5.994 5.522 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1500 1800 600 900 1 1 1 1 1200 1 -450 2 1 208.9 12.3 0.125 24.699 384.16 0.01 7.75 0.01 20.17 1 402.6 11.2 9.333 7.333 6.4 5.6 5 4.3 4.2 3.7 3.5 3.2 3.1 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1800 2100 300 600 1 1 1 1 1200 1 -750 4 1 24.956 5.6 0.125 -25.96 504.01 0.01 12.98 0.01 25.76 1 432.3 28.58 16.6 13 10.86 9.433 8.361 7.2 6.933 6.633 5.167 5.222 5.1 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2100 2400 0 300 1 1 1 1 1200 1 -1050 6 1 8.6217 4.2 0.125 8.918 650.06 0.01 15.13 0.76 23.27 1 431.3 28.3 19.94 15 11.7 11.11 10.4 8.567 8.243 7.267 6 6.243 4.916 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1500 1800 900 1200 1 1 1 1 1350 1 -300 1 1 415.4 7.6 0.125 -6.303 309.08 0.01 4.93 0.05 15.95 1 402.1 9.3 6.533 4.767 4.061 3.439 3.133 2.667 2.333 2.4 1.9 2 1.8 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1800 2100 600 900 1 1 1 1 1350 1 -600 3 1 35.779 5.6 0.125 24.187 361.3 0.01 9.22 0.12 25.52 1 407.3 14 11.23 9.1 7.7 6.6 6 5.5 4.9 4.4 3.9 4.3 3.761 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2100 2400 300 600 1 1 1 1 1350 1 -900 5 1 11.684 4.2 0.125 -25.295 550.61 0.01 13.73 0.49 24.94 1 435.2 29.18 17.17 13.37 10.63 9.455 8.467 7.383 6.967 6.367 5.733 4.957 4.386 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2400 2700 0 300 1 1 1 1 1350 1 -1200 7 1 7.741 5.3 0.125 8.107 693.78 0.12 13.97 0.29 20.13 1 433.9 27.97 18.01 13.5 11.5 10.1 8.067 7 6.563 6.033 4.861 4.85 4.5 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1800 2100 900 1200 1 1 1 1 1500 1 -450 2 1 75.678 4.5 0.125 13.472 380.4 0.02 7.51 0.26 19.75 1 407.3 13.27 9.378 7.1 6.267 5.278 4.939 4.2 4 3.533 3.2 3.203 2.8 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2100 2400 600 900 1 1 1 1 1500 1 -750 4 1 14.505 4.2 0.125 23.91 390.58 0.01 10.34 0.29 26.48 1 410.9 16.07 12.83 9.933 8.267 7.485 6.616 6.083 5.4 5.1 4.2 4.3 3.667 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2400 2700 300 600 1 1 1 1 1500 1 -1050 6 1 10.134 5.3 0.125 -25.634 605.5 0.02 11.84 0.19 19.56 1 437.3 27.87 15.7 11.8 9.833 8.416 6.697 6.1 5.743 5.433 4.663 4.567 4.133 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2700 3000 0 300 1 1 1 1 1500 1 -1350 8 1 7.0782 6.7 0.125 7.787 716.89 0.07 21.4 0.38 29.85 1 449.7 41.97 28.64 21.72 17.07 14.5 13.13 11.7 10.4 10.6 9.567 8.322 7.316 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1800 2100 1200 1500 1 1 1 1 1650 1 -300 1 1 315.7 4.5 0.125 7.322 396.72 0.01 4.29 0.12 10.82 1 412.9 13.13 6 4.261 3.439 2.733 2.6 2.4 2.3 2.039 1.567 1.778 1.533 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2100 2400 900 1200 1 1 1 1 1650 1 -600 3 1 26.962 3.4 0.125 13.896 448.43 0.01 9.36 0.38 20.87 1 412.5 16.73 11.48 8.867 7.7 6.9 6.178 5.6 5.067 4.533 4.333 3.9 3.8 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2400 2700 600 900 1 1 1 1 1650 1 -900 5 1 11.857 5.3 0.125 23.446 442.79 0.02 8.35 0.14 18.86 1 411.6 12.95 10.26 8.143 7 6.067 5.1 4.467 4.233 4.022 3.467 3.522 3.5 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2700 3000 300 600 1 1 1 1 1650 1 -1200 7 1 9.0252 6.7 0.125 -26.873 639.86 0.01 19.42 0.01 30.35 1 452.6 41.36 25.2 19.53 15.33 13.47 12.25 10.93 9.8 9.133 8.333 7.8 7.267 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3000 3300 0 300 1 1 1 1 1650 1 -1500 9 1 14.211 9 0.125 9.343 1473.3 0.02 21.87 0.32 14.85 1 451 41.77 27.93 21.8 18.03 15.57 13.47 11.82 11.32 10.07 9.594 9.05 7.237 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2100 2400 1200 1500 1 1 1 1 1800 1 -450 2 1 70.339 3.4 0.125 9.027 467.95 0.02 5.64 0.17 12.04 1 417.3 15.2 7.333 5.367 4.733 3.933 3.561 3.233 2.8 2.767 2.1 2.1 2.4 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2400 2700 900 1200 1 1 1 1 1800 1 -750 4 1 20.619 4.3 0.125 1.743 542.31 0.04 7.35 0.7 13.55 1 412.4 14.23 9.5 7.167 6 5.267 4.966 4.116 3.816 3.278 3.067 3.243 2.678 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2700 3000 600 900 1 1 1 1 1800 1 -1050 6 1 10.148 6.7 0.125 22.596 479.64 0.01 15.66 0.12 32.65 1 426.7 27.04 19.42 15.52 12.67 11.4 10.1 8.9 7.9 7.739 7.261 6.467 5.833 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3000 3300 300 600 1 1 1 1 1800 1 -1350 8 1 17.673 9 0.125 -26 1332.5 0.01 19.52 0.31 14.65 1 453.7 41.37 24.77 19.44 15.73 13.88 12.33 11.06 10.07 9.606 8.533 7.267 7.2 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3300 3600 0 300 1 1 1 1 1800 1 -1650 10 1 9.8698 8.7 0.125 9.259 1411.3 0.06 21.72 0.16 15.39 1 459.2 46.07 29.33 21.17 17.6 14.83 13.67 11.42 10.2 9.7 9.3 7.967 7.1 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2100 2400 1500 1800 1 1 1 1 1950 1 -300 1 1 95.23 3.4 0.125 3.611 158.39 0.02 4.63 0.05 29.23 1 399.7 7.5 6.161 4.433 3.7 3.467 2.8 2.6 2.4 2.167 1.9 1.733 1.8 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2400 2700 1200 1500 1 1 1 1 1950 1 -600 3 1 45.637 4.3 0.125 26.37 600.17 0.01 3.51 0.32 5.844 1 416.4 11.92 4.817 3.7 2.767 2.278 2.2 2.3 1.867 1.457 1.6 1.5 1.2 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2700 3000 900 1200 1 1 1 1 1950 1 -900 5 1 16.279 5.2 0.125 12 619.6 0.01 14.99 0.01 24.2 1 427.3 27.6 19 14.77 12.7 10.8 9.703 8.2 7.533 6.833 6.3 5.939 5.5 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3000 3300 600 900 1 1 1 1 1950 1 -1200 7 1 18.84 9 0.125 23.227 994.35 0.01 16.54 0.14 16.64 1 430.3 27.8 20.4 15.84 13.22 11.84 11 9.6 8.6 8.022 7.3 6.867 6.467 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3300 3600 300 600 1 1 1 1 1950 1 -1500 9 1 12.06 8.7 0.125 -25.766 1293.4 0.04 19.48 0.1 15.06 1 461.4 45.5 25.83 20 15.77 13.17 12.57 10.9 9.933 8.667 8.278 6.867 6.25 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2400 2700 1500 1800 1 1 1 1 2100 1 -450 2 1 43.37 4.3 0.125 4.051 228.14 0.04 1.04 0.19 4.558 1 395.8 1.767 1.767 1.1 0.7388 0.6667 0.9 0.4667 0.5667 0.3333 0.5388 0.2389 0.2333 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2700 3000 1200 1500 1 1 1 1 2100 1 -750 4 1 32.493 5.2 0.125 20.883 706.71 0.02 10.9 0.07 15.43 1 430.4 24.8 13.93 10.97 9.1 7.667 6.4 6.143 5.1 4.567 4.337 4.361 3.6 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3000 3300 900 1200 1 1 1 1 2100 1 -1050 6 1 27.456 6.6 0.125 1.74 1317.4 0.02 15.46 0.17 11.74 1 430.8 28.4 19.67 15.02 12.9 11 9.7 8.883 8.133 7.057 6.461 6.222 5.867 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3300 3600 600 900 1 1 1 1 2100 1 -1350 8 1 12.678 8.7 0.125 23.36 988.86 0.02 16.44 0.1 16.63 1 435.3 29.9 21.1 15.98 13.26 11.77 10.6 9.1 8.2 7.561 7.078 6.3 5.867 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1800 2100 2400 2700 1 1 1 1 2250 1 -300 1 1 219.4 5.6 0.125 8.24 221.55 0.01 4.43 0.01 19.99 1 397.1 6.8 5.8 4.3 3.6 3.133 2.7 2.6 2.1 1.9 1.733 1.767 1.533 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2700 3000 1500 1800 1 1 1 1 2250 1 -600 3 1 25.741 5.2 0.125 3.713 279.93 0.03 7.35 0.01 26.24 1 408 12.6 10.1 7.361 5.961 5 4.539 4 3.767 3.233 2.833 2.8 2.639 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1200 1500 3000 3300 1 1 1 1 2250 1 -900 5 1 69.226 8.9 0.125 -2.243 1539.5 0.01 11.27 0.01 7.321 1 418.7 19.56 14.2 11.17 9.5 7.9 7.067 6.3 5.567 5.061 4.8 4.433 4.033 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3000 3300 1200 1500 1 1 1 1 2250 1 -900 5 1 51.6 6.6 0.125 21.017 1547.4 0.02 11.74 0.14 7.587 1 433.4 26.7 14.83 11.32 9.9 8.233 7.333 6.8 6.033 5.3 5.267 4.633 4.461 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3300 3600 900 1200 1 1 1 1 2250 1 -1200 7 1 18.26 6.4 0.125 14.887 1355.3 0.01 16.06 0.16 11.85 1 435.2 30.43 20.24 15.3 13.3 11.23 10.6 8.8 8.3 7.417 6.8 6.133 5.9 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1800 2100 2700 3000 1 1 1 1 2400 1 -450 2 1 62.729 5.6 0.125 7.69 253.37 0.01 8.89 0.14 35.08 1 420.9 20.3 10.98 9.239 6.757 6.178 5.337 5.267 4.1 4 3.778 3.2 2.767 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1500 1800 3000 3300 1 1 1 1 2400 1 -750 4 1 67.222 12.1 0.125 -0.34 628.31 0.01 8.65 0.05 13.77 1 412.4 14.8 11.2 8.467 7.167 6 5.433 4.961 4.467 3.6 3.739 3.3 3 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3000 3300 1500 1800 1 1 1 1 2400 1 -750 4 1 36.472 6.6 0.125 5.619 624.99 0.01 8.79 0.12 14.07 1 412.5 15.2 11.16 8.6 7.1 6.2 5.5 5 4.2 3.8 3.761 3.361 3 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1200 1500 3300 3600 1 1 1 1 2400 1 -1050 6 1 45.718 8.9 0.125 13.274 1626.7 0.01 11.74 0.07 7.218 1 436.6 27.6 15.1 11.52 9.567 8.4 7.243 6.6 5.661 5.2 4.8 4.361 4.1 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3300 3600 1200 1500 1 1 1 1 2400 1 -1050 6 1 32.952 6.4 0.125 16.275 1630.4 0.02 11.91 0.12 7.307 1 437.3 27.97 15.4 11.86 9.767 8.643 7.057 6.9 5.867 5.433 4.967 4.6 4.333 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2100 2400 2700 3000 1 1 1 1 2550 1 -300 1 1 120.9 4.3 0.125 7.83 158.99 0.01 8.65 0.01 54.43 1 418.8 19.76 10.93 8.3 6.9 6.339 5.4 4.8 4.333 4.033 3.633 3.367 3.1 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1800 2100 3000 3300 1 1 1 1 2550 1 -600 3 1 57.265 5.6 0.125 -0.972 578.26 0.01 10 0.12 17.29 1 410.4 16.17 12.46 9.7 8.2 7.1 6.339 5.667 5.2 4.7 4 3.9 3.567 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1500 1800 3300 3600 1 1 1 1 2550 1 -900 5 1 42.316 12.1 0.125 15.93 692.17 0.01 8.86 0.01 12.79 1 429.4 21.93 11.47 8.7 7.2 6.267 5.439 4.6 4.167 4.239 3.4 3.3 3.039 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3300 3600 1500 1800 1 1 1 1 2550 1 -900 5 1 22.186 6.4 0.125 4.673 686.11 0.02 9.06 0.01 13.2 1 415.7 15.76 11.56 8.833 7.339 6.367 5.567 4.9 4.7 4.3 3.8 3.4 3.167 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1200 1500 3600 3900 1 1 1 1 2550 1 -1200 7 1 32.997 8.9 0.125 13.27 1761.1 0.01 13.69 0.01 7.772 1 432.2 26.9 17.37 13.36 11.24 9.6 8.467 7.461 6.4 5.922 5.717 4.837 4.722 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2100 2400 3000 3300 1 1 1 1 2700 1 -450 2 1 78.765 4.2 0.125 -0.917 424.19 0.01 10.87 0.01 25.62 1 409.2 16.6 13.03 10.4 8.839 7.5 7 5.9 5.439 5 4.661 4.333 4.167 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1800 2100 3300 3600 1 1 1 1 2700 1 -750 4 1 31.536 5.6 0.125 15.384 636.89 0.01 10.03 0.24 15.75 1 427.3 23.3 12.56 9.8 8.367 6.961 6 5.637 5.4 4.633 4.122 4 3.3 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1500 1800 3600 3900 1 1 1 1 2700 1 -1050 6 1 29.631 12.1 0.125 13.237 775.49 0.01 10.57 0.01 13.63 1 424.2 21.1 14 10.37 8.9 7.6 6.5 5.767 5.2 5 4.3 3.967 3.767 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1200 1500 3900 4200 1 1 1 1 2700 1 -1350 8 1 20.521 9.1 0.125 12.004 1530.2 0.01 18.05 0.07 11.79 1 437.6 32.14 22.87 17.73 14.6 13 11.2 9.967 9.167 8.5 7.6 7.1 6.267 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2400 2700 3000 3300 1 1 1 1 2850 1 -300 1 1 228.9 5.4 0.125 -1.284 239.7 0.01 9.26 0.01 38.62 1 405.4 14.5 11.6 9 7.7 6.6 5.9 5.333 4.8 4.3 4 3.633 3.333 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2100 2400 3300 3600 1 1 1 1 2850 1 -600 3 1 38.234 4.2 0.125 15.606 514.77 0.01 11.07 0.01 21.5 1 425.7 23.2 13.27 10.54 9.063 7.9 7 6.067 6.123 5.267 4.8 4.4 4.422 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1800 2100 3600 3900 1 1 1 1 2850 1 -900 5 1 20.464 5.6 0.125 12.559 723.25 0.02 12 0.25 16.59 1 422 22.4 15.23 11.67 9.617 8.5 7.933 6.767 5.833 5.5 4.65 4.583 4.3 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1500 1800 3900 4200 1 1 1 1 2850 1 -1200 7 1 16.394 11.6 0.125 11.59 671.33 0.01 15.13 0.1 22.54 1 429.8 26.27 18.8 14.77 12.66 10.84 9.433 8.461 7.633 7 6.4 6.2 6.203 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1200 1500 4200 4500 1 1 1 1 2850 1 -1500 9 1 13.61 9.1 0.125 16.113 1395.4 0.01 21.74 0.01 15.58 1 462.2 46.97 27.41 21.6 18.03 15.37 13.27 11.86 11.02 10.33 9.6 8.5 7.533 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2400 2700 3300 3600 1 1 1 1 3000 1 -450 2 1 78.151 5.4 0.125 15.843 327.36 0.01 9.26 0.17 28.28 1 422.4 21.5 11.66 8.9 7.933 6.6 5.7 5.2 4.8 4.478 3.967 3.8 3.467 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2100 2400 3600 3900 1 1 1 1 3000 1 -750 4 1 23.328 4.2 0.125 11.68 628.16 0.02 13.4 0.35 21.33 1 420.8 23.1 16.44 12.63 10.86 9.855 8.637 7.8 7.278 6.839 5.6 5.537 5.422 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1800 2100 3900 4200 1 1 1 1 3000 1 -1050 6 1 11.726 5.7 0.125 10.26 651.43 0.01 15.72 0.31 24.13 1 426.5 26.2 19.63 15.22 13.3 11.4 9.822 9.067 8.1 7.3 6.8 5.967 5.839 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1500 1800 4200 4500 1 1 1 1 3000 1 -1350 8 1 10.338 11.6 0.125 15.93 604.74 0.03 18.38 0.24 30.4 1 454.1 39.7 23.5 18.08 15.33 12.87 11.37 9.95 9.4 8.1 7.6 6.75 6.6 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
1200 1500 4500 4800 1 1 1 1 3000 1 -1650 10 1 8.5612 9.1 0.125 9.13 1170.4 0.01 21.23 0.01 18.14 1 456.4 43 27.87 21.1 17.94 14.67 12.8 11.52 10.42 9.667 8.545 7.917 6.9 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2700 3000 3300 3600 1 1 1 1 3150 1 -300 1 1 252 7 0.125 16.62 203.58 0.01 11.87 0.01 58.33 1 423 24.43 14.6 11.34 9.467 8.6 7.367 6.633 6.239 5.7 5 4.833 4.367 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2400 2700 3600 3900 1 1 1 1 3150 1 -600 3 1 43.089 5.4 0.125 11.27 451.22 0.03 12.08 0.01 26.76 1 417.3 21.03 14.9 11.43 10 8.433 7.578 6.177 6.133 5.633 4.867 4.533 4.333 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
